User_ID,Age,Gender,Location,Platform,Ad_Type,Campaign_ID,Impressions,Clicks,Conversions,Time_Spent_on_Landing (sec),Spend (INR),Date
U1000,51,Male,Delhi,YouTube,Banner,AUTO202405,6,4,1,102.6,11.38,2025-04-07
U1001,24,Male,Hyderabad,Instagram,Banner,CPG202402,1,1,1,62.2,2.65,2025-03-12
U1002,43,Male,Pune,Google,Carousel,AUTO202405,9,3,2,29.38,21.78,2025-04-07
U1003,40,Male,Hyderabad,YouTube,Story,CPG202402,6,0,0,111.33,20.98,2025-04-20
U1004,22,Other,Bengaluru,LinkedIn,Popup,EDU202403,4,2,1,33.06,12.58,2025-03-02
U1005,52,Male,Pune,Google,Video,EDU202403,7,2,0,106.8,34.54,2025-03-24
U1006,45,Female,Mumbai,YouTube,Popup,FMCG202404,3,1,1,116.78,8.58,2025-03-13
U1007,22,Other,Hyderabad,YouTube,Carousel,EDU202403,6,6,1,22.47,11.26,2025-04-12
U1008,38,Male,Delhi,LinkedIn,Popup,AUTO202405,9,1,1,63.53,18.35,2025-04-10
U1009,40,Other,Chennai,Facebook,Popup,CPG202402,9,1,1,32.26,12.49,2025-03-08
U1010,19,Female,Pune,LinkedIn,Story,EDU202403,9,6,1,92.04,20.92,2025-03-11
U1011,21,Other,Chennai,Instagram,Carousel,EDU202403,5,4,2,54.64,9.44,2025-04-18
U1012,30,Other,Kolkata,Instagram,Banner,CPG202402,8,7,6,114.56,11.46,2025-04-22
U1013,46,Other,Mumbai,Instagram,Popup,CPG202402,3,1,1,6.43,12.96,2025-03-18
U1014,26,Male,Pune,Google,Carousel,CPG202402,4,0,0,14.82,10.68,2025-04-04
U1015,18,Other,Chennai,Facebook,Video,EDU202403,6,5,3,85.34,24.58,2025-03-10
U1016,27,Other,Delhi,YouTube,Banner,FMCG202404,10,9,9,50.08,22.76,2025-04-05
U1017,37,Other,Bengaluru,Instagram,Popup,EDU202403,5,4,0,52.58,9.0,2025-03-27
U1018,30,Other,Chennai,Facebook,Popup,CPG202401,3,3,1,66.33,9.06,2025-04-17
U1019,48,Male,Hyderabad,YouTube,Carousel,EDU202403,5,4,3,72.31,15.41,2025-03-25
U1020,60,Male,Bengaluru,Instagram,Popup,EDU202403,10,5,1,84.99,48.62,2025-03-28
U1021,50,Female,Hyderabad,YouTube,Banner,FMCG202404,6,2,0,92.54,26.75,2025-04-26
U1022,20,Female,Chennai,Instagram,Story,AUTO202405,10,2,2,115.66,14.16,2025-03-25
U1023,53,Other,Pune,Facebook,Banner,AUTO202405,7,6,5,31.25,14.86,2025-03-25
U1024,34,Male,Mumbai,Instagram,Popup,CPG202402,4,0,0,102.96,18.47,2025-04-02
U1025,24,Female,Pune,Google,Carousel,EDU202403,8,6,6,42.68,19.02,2025-04-23
U1026,49,Female,Pune,Google,Banner,FMCG202404,10,4,4,56.6,38.19,2025-03-15
U1027,30,Other,Pune,LinkedIn,Popup,CPG202401,9,0,0,42.53,17.64,2025-03-28
U1028,41,Female,Mumbai,Instagram,Popup,FMCG202404,5,4,2,88.78,13.05,2025-04-11
U1029,52,Other,Delhi,Google,Story,FMCG202404,8,6,5,34.43,30.55,2025-04-19
U1030,54,Female,Kolkata,Facebook,Video,EDU202403,4,0,0,51.15,17.73,2025-03-22
U1031,51,Male,Kolkata,Facebook,Banner,AUTO202405,10,6,1,22.57,48.64,2025-04-13
U1032,30,Male,Delhi,Google,Story,AUTO202405,9,9,5,23.66,42.98,2025-03-22
U1033,60,Male,Chennai,Facebook,Story,CPG202402,8,0,0,74.29,15.89,2025-04-11
U1034,30,Male,Kolkata,LinkedIn,Story,CPG202401,3,3,3,25.78,5.9,2025-04-29
